league,year,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_coef,ppda_att,ppda_def,oppda_coef,oppda_att,oppda_def,team,xG_diff,xGA_diff,xpts_diff
Bundesliga,2018,h,1.50955,2.73709,1.50955,2.73709,12,6,1,3,0.6403000000000001,l,2018-11-10 14:30:00,0,0,1,0,-1.2275399999999999,23.714285714285715,332,14,23.214285714285715,325,14,Werder Bremen,0.50955,-0.2629100000000002,0.6403000000000001
Bundesliga,2018,a,2.13569,2.98264,2.13569,2.22486,13,7,1,1,0.8741,d,2018-11-25 14:30:00,0,1,0,1,-0.0891700000000002,15.125,242,16,16.833333333333332,303,18,Werder Bremen,1.1356899999999999,1.98264,-0.1259
Bundesliga,2018,h,0.637321,3.29433,0.637321,3.29433,7,14,1,2,0.1129,l,2018-12-01 14:30:00,0,0,1,0,-2.657009,17.571428571428573,369,21,16.733333333333334,251,15,Werder Bremen,-0.362679,1.29433,0.1129
Bundesliga,2018,h,2.83748,1.37827,2.83748,0.620492,5,4,3,1,2.4326,w,2018-12-07 19:30:00,1,0,0,3,2.2169879999999997,5.2592592592592595,142,27,19.571428571428573,411,21,Werder Bremen,-0.16252000000000022,0.3782700000000001,-0.5674000000000001
Bundesliga,2018,a,0.461208,2.89288,0.461208,2.89288,5,13,1,2,0.1377,l,2018-12-15 17:30:00,0,0,1,0,-2.431672,11.0,308,28,20.214285714285715,283,14,Werder Bremen,-0.5387919999999999,0.8928799999999999,0.1377
Bundesliga,2018,h,2.39195,1.90654,2.39195,1.90654,11,4,1,1,1.6856999999999998,d,2018-12-19 19:30:00,0,1,0,1,0.4854100000000001,10.8,270,25,8.642857142857142,242,28,Werder Bremen,1.39195,0.9065399999999999,0.6856999999999998
Bundesliga,2018,a,2.10073,1.93805,2.10073,1.93805,6,7,2,3,1.4783,l,2018-12-22 14:30:00,0,0,1,0,0.16267999999999994,11.631578947368421,221,19,11.689655172413794,339,29,Werder Bremen,0.10072999999999999,-1.06195,1.4783
Bundesliga,2018,a,2.168,0.516442,2.168,0.516442,8,7,1,0,2.5643000000000002,w,2019-01-19 14:30:00,1,0,0,3,1.651558,8.407407407407407,227,27,9.291666666666666,223,24,Werder Bremen,1.1680000000000001,0.516442,-0.43569999999999975
Bundesliga,2018,h,2.6,1.64974,2.6,0.891959,10,2,2,2,2.0568,d,2019-01-26 17:30:00,0,1,0,1,1.7080410000000001,15.25,244,16,7.36,184,25,Werder Bremen,0.6000000000000001,-0.35026,1.0568
Bundesliga,2018,a,1.10992,1.09967,1.10992,1.09967,5,2,1,1,1.3322,d,2019-02-02 14:30:00,0,1,0,1,0.010250000000000092,7.379310344827586,214,29,14.909090909090908,328,22,Werder Bremen,0.10992000000000002,0.09966999999999993,0.33220000000000005
Bundesliga,2018,h,1.66903,1.05801,1.66903,1.05801,4,1,4,0,1.8468,w,2019-02-10 14:30:00,1,0,0,3,0.6110200000000001,19.210526315789473,365,19,13.8,207,15,Werder Bremen,-2.3309699999999998,1.05801,-1.1532
Bundesliga,2018,a,0.390094,1.09705,0.390094,1.09705,4,6,1,1,0.6858,d,2019-02-16 17:30:00,0,1,0,1,-0.7069560000000001,6.32258064516129,196,31,12.565217391304348,289,23,Werder Bremen,-0.6099060000000001,0.09705000000000008,-0.31420000000000003
Bundesliga,2018,h,1.23401,0.946008,1.23401,0.946008,7,3,1,1,1.6170999999999998,d,2019-02-22 19:30:00,0,1,0,1,0.2880020000000001,10.133333333333333,152,15,29.714285714285715,416,14,Werder Bremen,0.23401000000000005,-0.05399200000000004,0.6170999999999998
Bundesliga,2018,a,1.83543,1.16809,1.83543,1.16809,5,4,1,1,1.8989000000000003,d,2019-03-03 17:00:00,0,1,0,1,0.6673399999999998,14.19047619047619,298,21,7.363636363636363,162,22,Werder Bremen,0.8354299999999999,0.16809000000000007,0.8989000000000003
Bundesliga,2018,h,2.44765,1.53919,1.68987,1.53919,9,11,4,2,2.0277,w,2019-03-08 19:30:00,1,0,0,3,0.15067999999999993,5.538461538461538,144,26,15.545454545454545,171,11,Werder Bremen,-1.5523500000000001,-0.46080999999999994,-0.9723000000000002
Bundesliga,2018,a,1.31225,0.917302,1.31225,0.917302,2,15,3,1,1.7142,w,2019-03-17 12:30:00,1,0,0,3,0.39494799999999997,19.94736842105263,379,19,6.391304347826087,147,23,Werder Bremen,-1.68775,-0.08269800000000005,-1.2858
Bundesliga,2018,h,1.22854,0.998556,1.22854,0.998556,6,2,3,1,1.5772,w,2019-03-30 14:30:00,1,0,0,3,0.22998399999999997,8.083333333333334,194,24,11.066666666666666,332,30,Werder Bremen,-1.77146,-0.0014440000000000008,-1.4228
Bundesliga,2018,a,1.05039,1.99752,1.05039,1.99752,3,10,1,1,0.671,d,2019-04-07 17:00:00,0,1,0,1,-0.94713,14.454545454545455,318,22,13.947368421052632,265,19,Werder Bremen,0.050389999999999935,0.99752,-0.32899999999999996
Bundesliga,2018,h,1.81623,0.55263,1.81623,0.55263,8,3,2,1,2.3453999999999997,w,2019-04-13 14:30:00,1,0,0,3,1.2636,4.216216216216216,156,37,22.153846153846153,288,13,Werder Bremen,-0.18377,-0.44737000000000005,-0.6546000000000003
